ID,Lat,Long,Depth,E1 stand,E2 stand
1,54.510295,-5.44231,-12.43,0.209005629,0.390989288
2,54.51028,-5.44231,-12.43,0.20412758,0.374606175
3,54.5102616,-5.4423083,-12.53,0.196247655,0.379647133
4,54.5102433,-5.442305,-12.43,0.184615385,0.378071834
5,54.5102233,-5.4423,-12.33,0.193621013,0.336483932
6,54.5102033,-5.4422933,-12.43,0.200375235,0.319470699
7,54.5101816,-5.4422866,-12.43,0.204502814,0.308758664
8,54.5101583,-5.4422783,-12.43,0.201125704,0.34089477
9,54.510135,-5.4422683,-12.53,0.219136961,0.359798362
10,54.5101116,-5.4422566,-12.53,0.196247655,0.347511027
11,54.5100866,-5.442245,-12.43,0.222889306,0.36452426
12,54.5100616,-5.4422316,-12.53,0.226266417,0.374291115
13,54.5100366,-5.4422183,-12.53,0.202251407,0.365784499
14,54.5100116,-5.442205,-12.53,0.221013133,0.358853182
15,54.509985,-5.44219,-12.53,0.216885553,0.339634531
16,54.5099583,-5.442175,-12.43,0.221013133,0.353182105
17,54.5099283,-5.44216,-12.43,0.237898687,0.369250158
18,54.5099,-5.442145,-12.53,0.262664165,0.387523629
19,54.5098716,-5.4421283,-12.62,0.271294559,0.3626339
20,54.5098433,-5.4421116,-12.43,0.236772983,0.353812224
21,54.5098133,-5.442095,-12.43,0.233395872,0.357592943
22,54.509785,-5.4420783,-12.53,0.261913696,0.344045369
23,54.509755,-5.44206,-12.53,0.253658537,0.343730309
24,54.509725,-5.4420416,-12.43,0.260037523,0.343100189
25,54.509695,-5.4420266,-12.43,0.288180113,0.360743541
26,54.509665,-5.4420083,-12.43,0.257410882,0.365154379
27,54.509635,-5.44199,-12.43,0.248030019,0.365784499
28,54.509605,-5.4419716,-12.43,0.236022514,0.343415249
29,54.5095733,-5.4419516,-12.33,0.24727955,0.342470069
30,54.5095433,-5.4419333,-12.43,0.279174484,0.335223693
31,54.5095116,-5.441915,-12.43,0.291557223,0.347195967
32,54.5094816,-5.4418966,-12.43,0.251407129,0.344990548
33,54.50945,-5.4418766,-12.33,0.234521576,0.334593573
34,54.50942,-5.4418566,-12.33,0.28217636,0.325141777
35,54.50939,-5.4418366,-12.43,0.251031895,0.365154379
36,54.5093583,-5.4418166,-12.33,0.240900563,0.383427851
37,54.5093266,-5.4417966,-12.33,0.255909944,0.361373661
38,54.5092966,-5.4417766,-12.24,0.266791745,0.31821046
39,54.509265,-5.4417533,-12.24,0.272045028,0.308128544
40,54.5092366,-5.44173,-12.33,0.266791745,0.332073094
41,54.5092116,-5.441695,-12.33,0.252908068,0.348456207
42,54.5091816,-5.44167,-12.33,0.236022514,0.350031506
43,54.509155,-5.4416399,-12.24,0.251782364,0.315689981
44,54.5091316,-5.4415933,-12.24,0.270919325,0.321676118
45,54.509105,-5.44156,-12.24,0.245403377,0.325771897
46,54.5090766,-5.44153,-12.33,0.262664165,0.327032136
47,54.5090466,-5.44151,-12.24,0.269418386,0.312224323
48,54.5090283,-5.4414433,-12.33,0.257786116,0.325456837
49,54.508995,-5.441425,-12.14,0.261913696,0.358538122
50,54.5089616,-5.4414049,-12.14,0.28217636,0.313169502
51,54.5089283,-5.4413866,-12.14,0.285178236,0.324826717
52,54.5088933,-5.44137,-12.24,0.280675422,0.369565217
53,54.5088566,-5.4413533,-12.14,0.256660413,0.358538122
54,54.5088233,-5.4413349,-12.14,0.245778612,0.326086957
55,54.5087933,-5.44131,-12.14,0.255159475,0.34026465
56,54.508765,-5.4412766,-12.04,0.257410882,0.346250788
57,54.5087416,-5.4412333,-12.14,0.263414634,0.350346566
58,54.5087183,-5.4411916,-12.14,0.254409006,0.373660996
59,54.50869,-5.4411616,-12.04,0.269793621,0.334908633
60,54.5086616,-5.4411333,-12.04,0.25478424,0.332073094
61,54.5086333,-5.441105,-12.04,0.255159475,0.313484562
62,54.508605,-5.44108,-12.04,0.251782364,0.336483932
63,54.508575,-5.4410566,-12.04,0.253658537,0.360428481
64,54.5085433,-5.441035,-11.95,0.263414634,0.330182735
65,54.5085116,-5.441015,-11.95,0.246904315,0.305293006
66,54.50848,-5.4409966,-11.95,0.246529081,0.283868935
67,54.5084483,-5.4409766,-11.95,0.252532833,0.31821046
68,54.5084166,-5.4409616,-11.95,0.260412758,0.320730939
69,54.508385,-5.4409433,-11.95,0.238649156,0.322621298
70,54.5083533,-5.4409266,-11.85,0.236397749,0.351291745
71,54.5083233,-5.44091,-11.85,0.257035647,0.31726528
72,54.5082916,-5.4408933,-11.76,0.273921201,0.348456207
73,54.50826,-5.4408766,-11.85,0.267542214,0.34057971
74,54.5082283,-5.4408633,-11.85,0.234896811,0.297101449
75,54.508195,-5.4408483,-11.85,0.232645403,0.284499055
76,54.5081633,-5.440835,-11.76,0.248405253,0.288909893
77,54.5081316,-5.44082,-11.76,0.237148218,0.316005041
78,54.5081,-5.440805,-11.76,0.21988743,0.323881537
79,54.5080666,-5.4407916,-11.66,0.232270169,0.31726528
80,54.5080333,-5.4407766,-11.76,0.258536585,0.321361059
81,54.5080016,-5.4407633,-11.66,0.262288931,0.316950221
82,54.5079683,-5.44075,-11.66,0.251782364,0.342155009
83,54.507935,-5.4407383,-11.66,0.239774859,0.343100189
84,54.5079033,-5.4407233,-11.56,0.238649156,0.302142407
85,54.50787,-5.44071,-11.66,0.241651032,0.304662886
86,54.5078383,-5.4406966,-11.66,0.241651032,0.323881537
87,54.5078066,-5.4406816,-11.56,0.228142589,0.31884058
88,54.507775,-5.4406666,-11.47,0.240525328,0.314429742
89,54.5077433,-5.4406516,-11.47,0.237898687,0.327347196
90,54.5077116,-5.440635,-11.47,0.229643527,0.316950221
91,54.50768,-5.44062,-11.47,0.21575985,0.293005671
92,54.5076483,-5.4406066,-11.47,0.203001876,0.284183995
93,54.5076166,-5.44059,-11.47,0.216510319,0.287964713
94,54.5075866,-5.4405733,-11.47,0.235272045,0.275362319
95,54.507555,-5.4405599,-11.37,0.233020638,0.291430372
96,54.5075216,-5.4405466,-11.27,0.257035647,0.29647133
97,54.5074866,-5.440535,-11.37,0.284052533,0.301197227
98,54.5074533,-5.44052,-11.37,0.245778612,0.3178954
99,54.50742,-5.4405066,-11.37,0.221013133,0.330497795
100,54.507385,-5.440495,-11.27,0.214258912,0.299621928
101,54.50735,-5.4404833,-11.37,0.214634146,0.268115942
102,54.507315,-5.44047,-11.37,0.227767355,0.288909893
103,54.50728,-5.4404583,-11.37,0.213133208,0.296786389
104,54.5072466,-5.4404466,-11.27,0.201125704,0.264335224
105,54.5072116,-5.4404316,-11.27,0.199624765,0.247952111
106,54.5071783,-5.4404183,-11.18,0.209005629,0.291745432
107,54.507145,-5.4404033,-11.18,0.191369606,0.285444234
108,54.5071116,-5.4403883,-11.27,0.225140713,0.289540013
109,54.5070783,-5.4403716,-11.27,0.232645403,0.292375551
110,54.507045,-5.440355,-11.18,0.228142589,0.269376181
111,54.5070133,-5.4403366,-11.18,0.208255159,0.277882798
112,54.50698,-5.44032,-11.18,0.187617261,0.302772527
113,54.5069483,-5.4403016,-11.08,0.211257036,0.306238185
114,54.5069166,-5.440285,-11.18,0.212382739,0.311909263
115,54.5068833,-5.440265,-11.08,0.194746717,0.316635161
116,54.5068516,-5.440245,-11.08,0.173733583,0.308758664
117,54.5068216,-5.440225,-11.08,0.179362101,0.291745432
118,54.5067916,-5.4402033,-11.08,0.206378987,0.25110271
119,54.5067616,-5.4401816,-11.08,0.204878049,0.261499685
120,54.50673,-5.4401633,-11.08,0.200375235,0.27378702
121,54.5067033,-5.440135,-11.08,0.183489681,0.264335224
122,54.506675,-5.4401066,-11.08,0.181613508,0.262129805
123,54.5066466,-5.4400766,-10.98,0.190619137,0.286074354
124,54.50662,-5.4400483,-11.08,0.18011257,0.297101449
125,54.50659,-5.4400216,-11.08,0.187617261,0.275047259
126,54.5065616,-5.4399966,-11.18,0.199624765,0.275047259
127,54.5065316,-5.4399716,-11.08,0.197748593,0.293005671
128,54.5065033,-5.4399483,-10.98,0.198874296,0.29584121
129,54.5064733,-5.439925,-10.98,0.192870544,0.277882798
130,54.5064433,-5.4399016,-10.98,0.184615385,0.282923756
131,54.5064133,-5.4398799,-10.98,0.199249531,0.288909893
132,54.5063833,-5.43986,-10.98,0.177110694,0.285129175
133,54.5063533,-5.4398383,-10.98,0.162476548,0.277252678
134,54.5063233,-5.4398166,-10.89,0.182363977,0.2731569
135,54.5062933,-5.4397933,-10.98,0.191744841,0.275677379
136,54.5062633,-5.4397716,-10.89,0.18011257,0.269061122
137,54.5062333,-5.43975,-10.98,0.178611632,0.262129805
138,54.5062016,-5.43973,-10.98,0.190994371,0.274732199
139,54.5061716,-5.4397083,-11.08,0.174859287,0.275362319
140,54.5061416,-5.4396866,-10.89,0.173358349,0.283238815
141,54.50611,-5.439665,-10.89,0.174859287,0.268746062
142,54.5060783,-5.4396466,-10.89,0.181988743,0.266855703
143,54.5060466,-5.4396283,-10.89,0.183864916,0.263390044
144,54.506015,-5.4396083,-10.89,0.174859287,0.265595463
145,54.5059833,-5.4395883,-10.89,0.185365854,0.253623188
146,54.5059533,-5.43957,-10.89,0.166979362,0.270636421
147,54.5059216,-5.43955,-10.89,0.151594747,0.263705104
148,54.50589,-5.4395333,-10.89,0.185741088,0.262759924
149,54.5058566,-5.4395166,-10.89,0.171106942,0.267170762
150,54.505825,-5.4394983,-10.79,0.151594747,0.279458097
151,54.5057916,-5.4394816,-10.89,0.159849906,0.279143037
152,54.50576,-5.439465,-10.89,0.156097561,0.245746692
153,54.5057266,-5.4394483,-10.89,0.147091932,0.263705104
154,54.505695,-5.43943,-10.79,0.150844278,0.264020164
155,54.505665,-5.4394083,-10.89,0.15684803,0.275677379
156,54.5056333,-5.43939,-10.79,0.184615385,0.256458727
157,54.5056016,-5.4393716,-10.79,0.187992495,0.24921235
158,54.5055716,-5.4393533,-10.79,0.171857411,0.313169502
159,54.5055366,-5.4393433,-10.79,0.170356473,0.319785759
160,54.5055033,-5.4393266,-10.79,0.175609756,0.29489603
161,54.5054716,-5.4393083,-10.7,0.175609756,0.27378702
162,54.50544,-5.43929,-10.79,0.169981238,0.279773157
163,54.50541,-5.4392683,-10.79,0.165478424,0.278827977
164,54.50538,-5.4392466,-10.7,0.162101313,0.274417139
165,54.5053466,-5.43923,-10.7,0.168855535,0.247952111
166,54.505315,-5.439215,-10.79,0.191369606,0.263390044
167,54.5052816,-5.4391966,-10.6,0.179362101,0.300567108
168,54.50525,-5.4391816,-10.6,0.161726079,0.275047259
169,54.5052183,-5.4391633,-10.7,0.155722326,0.277567738
170,54.5051866,-5.4391433,-10.7,0.172232645,0.288594833
171,54.5051566,-5.4391216,-10.7,0.175609756,0.275677379
172,54.505125,-5.4391033,-10.7,0.171106942,0.266540643
173,54.5050933,-5.4390833,-10.7,0.172983114,0.287334594
174,54.50506,-5.439065,-10.6,0.201500938,0.282923756
175,54.50502,-5.4390683,-10.5,0.195497186,0.276937618
176,54.5049883,-5.4390483,-10.6,0.166228893,0.276307498
177,54.5049566,-5.4390283,-10.6,0.166228893,0.254253308
178,54.504925,-5.4390066,-10.6,0.177861163,0.243856333
179,54.504895,-5.4389833,-10.5,0.17673546,0.277567738
180,54.5048666,-5.4389516,-10.6,0.177485929,0.301197227
181,54.5048366,-5.4389266,-10.5,0.1684803,0.296786389
182,54.50481,-5.4388949,-10.5,0.163977486,0.29458097
183,54.504775,-5.438885,-10.5,0.182739212,0.269691241
184,54.504745,-5.4388616,-10.5,0.173358349,0.253623188
185,54.5047,-5.4388716,-10.5,0.162851782,0.269691241
186,54.5046683,-5.4388516,-10.5,0.175609756,0.284499055
187,54.50465,-5.4388,-10.6,0.183114447,0.294265911
188,54.5046416,-5.43872,-10.5,0.165853659,0.288909893
189,54.5046116,-5.4386966,-10.5,0.169230769,0.286074354
190,54.5045816,-5.4386733,-10.5,0.163977486,0.269691241
191,54.50455,-5.43865,-10.5,0.169981238,0.276307498
192,54.50452,-5.438625,-10.41,0.181988743,0.290485192
193,54.5044883,-5.4386016,-10.5,0.181988743,0.284814115
194,54.5044566,-5.4385833,-10.41,0.170731707,0.266855703
195,54.504425,-5.4385583,-10.41,0.149718574,0.276307498
196,54.504395,-5.438535,-10.41,0.144465291,0.27189666
197,54.5043666,-5.4385066,-10.41,0.150469043,0.283553875
198,54.504335,-5.4384866,-10.31,0.14521576,0.278512917
199,54.5043033,-5.438465,-10.31,0.16097561,0.242281033
200,54.504275,-5.4384383,-10.41,0.169981238,0.239445495
201,54.5042483,-5.438405,-10.41,0.157973734,0.252678009
202,54.5042183,-5.43838,-10.31,0.151969981,0.252678009
203,54.5041883,-5.4383549,-10.31,0.168855535,0.2731569
204,54.5041583,-5.4383283,-10.41,0.163227017,0.283868935
205,54.5041283,-5.4383033,-10.31,0.154971857,0.285129175
206,54.5040816,-5.4383166,-10.31,0.155347092,0.282608696
207,54.5040516,-5.43829,-10.21,0.156472795,0.284183995
208,54.504015,-5.4382816,-10.31,0.137711069,0.270636421
209,54.503985,-5.4382566,-10.31,0.143339587,0.263705104
210,54.503955,-5.4382333,-10.31,0.168105066,0.288279773
211,54.5039183,-5.4382233,-10.21,0.154221388,0.31852552
212,54.50389,-5.4381916,-10.21,0.15272045,0.289855072
213,54.50386,-5.4381666,-10.21,0.147467167,0.277252678
214,54.503815,-5.43818,-10.21,0.151969981,0.280403277
215,54.503785,-5.438155,-10.31,0.162476548,0.2731569
216,54.503755,-5.43813,-10.31,0.178986867,0.264020164
217,54.5037366,-5.4380766,-10.21,0.162476548,0.255513548
218,54.5037066,-5.4380516,-10.21,0.146341463,0.278827977
219,54.5036733,-5.4380316,-10.21,0.148968105,0.285129175
220,54.5036416,-5.4380116,-10.21,0.162101313,0.246376812
221,54.50361,-5.4379916,-10.21,0.141463415,0.234089477
222,54.5035766,-5.4379716,-10.21,0.157598499,0.253308129
223,54.5035383,-5.4379683,-10.12,0.175984991,0.270951481
224,54.50351,-5.43794,-10.21,0.171482176,0.261184625
225,54.50348,-5.437915,-10.12,0.15272045,0.266855703
226,54.5034516,-5.43789,-10.12,0.151969981,0.271581601
227,54.5034216,-5.4378633,-10.12,0.154971857,0.281348456
228,54.5033933,-5.4378383,-10.12,0.161726079,0.255513548
229,54.50336,-5.4378216,-10.12,0.150093809,0.247952111
230,54.5033283,-5.4378016,-10.12,0.159099437,0.246691871
231,54.5032983,-5.4377783,-10.12,0.157598499,0.244486452
232,54.50327,-5.437755,-10.02,0.146341463,0.284183995
233,54.5032383,-5.4377333,-10.02,0.143714822,0.274417139
234,54.5032066,-5.4377133,-9.92,0.154596623,0.274102079
235,54.5031766,-5.43769,-10.02,0.159474672,0.242911153
236,54.503145,-5.4376683,-10.02,0.159474672,0.239445495
237,54.5031133,-5.4376483,-9.92,0.145966229,0.261184625
238,54.5030866,-5.43762,-9.92,0.135834897,0.255198488
239,54.50306,-5.4375933,-10.02,0.128705441,0.264335224
240,54.5030316,-5.4375683,-9.92,0.1369606,0.263705104
241,54.5030033,-5.437545,-9.92,0.143714822,0.234719597
242,54.5029733,-5.43752,-10.02,0.160600375,0.224322621
243,54.5029466,-5.437495,-9.92,0.155722326,0.254568368
244,54.50292,-5.4374666,-9.83,0.148217636,0.25110271
245,54.5028933,-5.4374399,-9.92,0.127579737,0.245116572
246,54.502865,-5.4374183,-9.92,0.114071295,0.245116572
247,54.502835,-5.437395,-9.92,0.1369606,0.262444865
248,54.502805,-5.4373733,-9.92,0.121575985,0.256458727
249,54.502775,-5.4373533,-9.83,0.116697936,0.238815375
250,54.502745,-5.4373316,-9.92,0.137711069,0.25078765
251,54.502715,-5.43731,-9.92,0.146341463,0.247006931
252,54.502685,-5.43729,-9.83,0.120825516,0.230623819
253,54.502655,-5.4372683,-9.73,0.122701689,0.232514178
254,54.502625,-5.4372483,-9.73,0.129080675,0.222117202
255,54.502595,-5.4372266,-9.73,0.135459662,0.213925646
256,54.5025633,-5.4372066,-9.73,0.143339587,0.221172023
257,54.5025333,-5.4371866,-9.73,0.147842402,0.236609956
258,54.5025016,-5.4371683,-9.73,0.147467167,0.243541273
259,54.50247,-5.4371483,-9.73,0.145966229,0.246376812
260,54.5024383,-5.43713,-9.73,0.142213884,0.24984247
261,54.502405,-5.4371116,-9.73,0.126454034,0.25110271
262,54.5023716,-5.4370966,-9.64,0.112570356,0.263390044
263,54.50234,-5.4370783,-9.64,0.113320826,0.256773787
264,54.5023066,-5.4370633,-9.64,0.108818011,0.239130435
265,54.502275,-5.4370466,-9.64,0.103564728,0.24984247
266,54.5022433,-5.4370266,-9.64,0.104690432,0.267485822
267,54.5022083,-5.437015,-9.64,0.109943715,0.27252678
268,54.502175,-5.4369983,-9.64,0.115196998,0.261184625
269,54.5021433,-5.4369816,-9.54,0.126829268,0.233459357
270,54.502105,-5.436975,-9.54,0.133958724,0.241650914
271,54.5020666,-5.4369666,-9.54,0.111819887,0.262444865
272,54.5020366,-5.4369416,-9.54,0.123076923,0.256458727
273,54.5019983,-5.4369366,-9.54,0.132457786,0.246061752
274,54.5019616,-5.4369249,-9.54,0.117448405,0.220856963
275,54.5019266,-5.4369133,-9.54,0.130206379,0.244801512
276,54.501895,-5.436895,-9.54,0.153095685,0.280403277
277,54.5018616,-5.4368766,-9.54,0.138461538,0.267170762
278,54.5018283,-5.43686,-9.54,0.126078799,0.251732829
279,54.501795,-5.4368433,-9.44,0.135459662,0.264335224
280,54.5017616,-5.4368283,-9.44,0.122701689,0.260554505
281,54.5017266,-5.4368116,-9.54,0.105065666,0.260239445
282,54.5016966,-5.4367916,-9.44,0.101688555,0.244171393
283,54.5016666,-5.4367683,-9.44,0.106941839,0.22621298
284,54.501635,-5.4367516,-9.44,0.100562852,0.244171393
285,54.5016,-5.4367366,-9.44,0.109193246,0.260869565
286,54.50157,-5.436715,-9.44,0.101313321,0.264335224
287,54.501545,-5.4366783,-9.54,0.09380863,0.266540643
288,54.5015116,-5.4366616,-9.44,0.098686679,0.282923756
289,54.501485,-5.4366316,-9.44,0.101313321,0.266855703
290,54.5014516,-5.436615,-9.44,0.112945591,0.212035287
291,54.50142,-5.4365966,-9.44,0.111069418,0.233774417
292,54.5013866,-5.4365783,-9.44,0.111069418,0.269376181
293,54.5013533,-5.4365633,-9.35,0.103189493,0.259609326
294,54.50132,-5.4365483,-9.44,0.101688555,0.237240076
295,54.5012883,-5.43653,-9.44,0.101688555,0.245116572
296,54.5012533,-5.436515,-9.44,0.108442777,0.242596093
297,54.5012216,-5.4364933,-9.44,0.111444653,0.241335854
298,54.5011883,-5.4364766,-9.44,0.090806754,0.238500315
299,54.501155,-5.4364633,-9.54,0.091932458,0.246376812
300,54.50112,-5.436445,-9.54,0.100938086,0.268431002
301,54.5010883,-5.4364283,-9.54,0.09380863,0.263705104
302,54.5010533,-5.43641,-9.44,0.101688555,0.254883428
303,54.50102,-5.4363933,-9.54,0.114071295,0.27221172
304,54.500985,-5.436375,-9.44,0.102439024,0.257403907
305,54.50095,-5.43636,-9.44,0.090806754,0.231253938
306,54.5009166,-5.4363433,-9.54,0.102814259,0.25015753
307,54.5008816,-5.4363266,-9.44,0.085553471,0.247637051
308,54.5008483,-5.43631,-9.54,0.089681051,0.245431632
309,54.5008166,-5.4362933,-9.54,0.093058161,0.270321361
310,54.5007816,-5.4362766,-9.54,0.090056285,0.29458097
311,54.5007483,-5.43626,-9.54,0.09043152,0.277567738
312,54.500715,-5.4362433,-9.54,0.085928705,0.259609326
313,54.5006816,-5.4362266,-9.54,0.095684803,0.239130435
314,54.5006483,-5.43621,-9.64,0.097560976,0.22715816
315,54.5006133,-5.436195,-9.64,0.093433396,0.245746692
316,54.5005833,-5.4361733,-9.64,0.105816135,0.251417769
317,54.5005466,-5.43616,-9.64,0.102439024,0.246061752
318,54.5005116,-5.436145,-9.73,0.103939962,0.252678009
319,54.5004783,-5.43613,-9.64,0.102439024,0.244171393
320,54.500445,-5.4361116,-9.73,0.092682927,0.230623819
321,54.5004083,-5.4361016,-9.73,0.091557223,0.222432262
322,54.5003783,-5.4360733,-9.64,0.091932458,0.212035287
323,54.5003383,-5.43607,-9.64,0.100187617,0.219281664
